LOCATION,DAY,ORDER_NUMBER,FLAVOR,SCOOPS
Athabasca,28,9,strawberry,2
Delburne,7,43,banana,2
Ryley,23,15,banana,2
Myrnam,27,51,vanilla,2
Bruderheim,22,90,strawberry,2
Girouxville,20,177,chocolate,1
Magrath,11,58,strawberry,2
Olds,19,8,vanilla,2
Valleyview,13,63,chocolate,3
Delburne,9,90,chocolate,1
Olds,27,26,chocolate,2
Chestermere,12,58,vanilla,3
Valleyview,24,92,chocolate,2
Falher,8,60,vanilla,1
Mundare,3,61,strawberry,2
Bruderheim,18,62,chocolate,2
Magrath,18,60,strawberry,2
Girouxville,29,130,banana,2
Lomond,23,192,chocolate,2
Mundare,8,9,strawberry,2
Athabasca,24,105,vanilla,3
Falher,5,59,vanilla,2
Bashaw,21,17,vanilla,2
Mannville,9,66,strawberry,1
Athabasca,12,18,strawberry,1
Valleyview,12,111,banana,1
Bashaw,11,49,strawberry,2
Valleyview,21,12,strawberry,2
Valleyview,13,61,chocolate,2
Mannville,20,167,vanilla,1
Girouxville,22,153,chocolate,3
Lomond,19,18,strawberry,1
Athabasca,21,173,vanilla,1
Eckville,5,34,vanilla,2
Lamont,17,93,chocolate,1
Olds,25,49,vanilla,2
Lomond,21,107,banana,2
Athabasca,21,209,chocolate,1
Mannville,21,109,vanilla,1
Lamont,2,99,vanilla,2
Mundare,25,118,strawberry,1
Girouxville,27,169,strawberry,1
Mundare,17,55,chocolate,1
Cardston,11,92,vanilla,2
Vermilion,17,118,banana,2
Mannville,16,22,vanilla,1
Myrnam,28,19,vanilla,2
Bruderheim,18,27,strawberry,2
Mannville,27,148,banana,2
Delburne,20,11,vanilla,2
Athabasca,11,53,vanilla,2
Mundare,10,87,chocolate,2
Bashaw,11,157,banana,2
Cardston,22,168,strawberry,3
Lacombe,16,89,vanilla,2
Mundare,29,121,chocolate,2
Mannville,8,115,strawberry,2
Girouxville,4,86,chocolate,1
Chestermere,20,77,chocolate,1
Cardston,20,73,strawberry,1
Delburne,22,69,strawberry,2
Mannville,29,1,vanilla,2
Mannville,24,10,strawberry,3
Mannville,12,10,vanilla,2
Eckville,2,86,strawberry,1
Chestermere,1,90,strawberry,1
Lomond,4,45,vanilla,2
Eckville,13,95,banana,3
Girouxville,29,93,banana,2
Lamont,28,39,strawberry,2
Lacombe,12,113,vanilla,2
Delburne,1,137,banana,2
Mannville,3,226,banana,1
Chestermere,30,154,chocolate,1
Mundare,2,141,strawberry,1
Athabasca,21,209,chocolate,2
Lomond,12,17,strawberry,1
Athabasca,24,136,vanilla,2
Valleyview,30,21,vanilla,1
Lacombe,3,71,vanilla,2
Bashaw,18,79,strawberry,2
Delburne,16,25,chocolate,2
Girouxville,22,189,vanilla,2
Lamont,21,41,vanilla,1
Girouxville,11,13,banana,2
Mannville,22,130,chocolate,2
Mannville,10,40,vanilla,1
Lomond,24,46,banana,1
Cardston,27,141,vanilla,3
Bruderheim,27,87,chocolate,2
Lomond,27,119,vanilla,3
Mundare,1,188,chocolate,1
Olds,18,81,strawberry,3
Falher,18,54,banana,1
Olds,15,54,vanilla,1
Mannville,25,122,vanilla,1
Delburne,21,112,chocolate,1
Eckville,21,158,chocolate,2
Eckville,5,79,chocolate,2
Mannville,17,79,banana,3
Falher,30,89,banana,1
Olds,9,43,chocolate,2
Bashaw,14,113,strawberry,2
Bruderheim,27,164,vanilla,1
Olds,2,37,vanilla,2
Chestermere,21,89,chocolate,2
Mundare,10,50,banana,2
Vermilion,28,27,banana,1
Valleyview,8,1,chocolate,1
Mundare,19,55,vanilla,1
Falher,22,82,banana,1
Girouxville,30,6,vanilla,3
Bashaw,7,210,strawberry,1
Lomond,23,32,strawberry,2
Mundare,27,118,chocolate,2
Delburne,5,14,strawberry,1
Ryley,5,73,vanilla,1
Myrnam,27,106,banana,2
Mundare,19,74,strawberry,1
Magrath,26,32,chocolate,2
Bruderheim,24,18,banana,2
Falher,3,32,chocolate,2
Delburne,20,109,vanilla,2
Falher,1,56,vanilla,2
Delburne,9,65,vanilla,2
Lacombe,7,57,strawberry,3
Athabasca,3,88,chocolate,2
Olds,2,57,chocolate,2
Olds,19,19,vanilla,2
Chestermere,19,104,chocolate,3
Chestermere,11,32,strawberry,3
Mannville,24,110,vanilla,2
Delburne,1,120,strawberry,3
Lomond,18,99,strawberry,2
Girouxville,18,8,strawberry,1
Lomond,21,96,strawberry,2
Delburne,26,34,banana,2
Bruderheim,5,71,vanilla,2
Lamont,16,43,chocolate,1
Olds,1,82,strawberry,1
Bashaw,6,235,vanilla,2
Girouxville,30,29,strawberry,3
Falher,14,9,chocolate,1
Myrnam,18,50,vanilla,3
Vermilion,27,48,vanilla,2
Girouxville,8,118,vanilla,2
Magrath,11,43,vanilla,1
Myrnam,30,11,chocolate,1
Athabasca,5,146,vanilla,2
Mannville,4,103,vanilla,1
Falher,24,54,strawberry,2
Lomond,26,62,strawberry,2
Olds,21,27,chocolate,3
Mannville,11,59,vanilla,1
Olds,26,11,strawberry,2
Lamont,16,37,vanilla,1
Chestermere,2,103,vanilla,1
Magrath,28,130,strawberry,1
Chestermere,3,77,chocolate,2
Bashaw,19,128,strawberry,1
Eckville,29,136,strawberry,2
Olds,18,177,strawberry,1
Mannville,11,110,vanilla,1
Ryley,7,23,vanilla,3
Olds,11,77,banana,2
Lomond,24,73,strawberry,2
Magrath,2,41,banana,1
Mundare,18,18,strawberry,2
Cardston,7,62,chocolate,2
Vermilion,4,80,chocolate,1
Magrath,3,33,strawberry,2
Magrath,21,114,banana,2
Chestermere,3,54,strawberry,2
Chestermere,14,166,chocolate,2
Bruderheim,21,74,chocolate,2
Eckville,15,43,vanilla,1
Delburne,16,5,chocolate,2
Vermilion,26,78,strawberry,3
Athabasca,29,33,chocolate,2
Bruderheim,25,66,strawberry,1
Athabasca,13,83,chocolate,2
Cardston,14,32,strawberry,2
Mundare,29,202,chocolate,2
Bashaw,27,151,chocolate,1
Olds,3,154,banana,2
Mundare,16,95,strawberry,1
Magrath,27,47,strawberry,2
Valleyview,2,210,banana,1
Lacombe,3,92,vanilla,1
Valleyview,9,142,strawberry,2
Mannville,11,137,strawberry,2
Lomond,29,82,strawberry,2
Eckville,24,74,vanilla,3
Falher,11,63,strawberry,2
Falher,27,28,strawberry,1
Chestermere,19,88,banana,2
Cardston,2,98,vanilla,3
Girouxville,16,56,strawberry,1
Bruderheim,29,113,vanilla,3
Bashaw,28,82,vanilla,2
Athabasca,8,12,vanilla,2
Chestermere,22,117,vanilla,3
Cardston,3,70,vanilla,2
Bruderheim,24,129,strawberry,2
Vermilion,28,107,strawberry,1
Lomond,14,127,banana,1
Bashaw,5,6,chocolate,2
Mundare,8,214,chocolate,2
Magrath,26,14,strawberry,1
Eckville,5,6,chocolate,1
Lomond,3,139,strawberry,1
Falher,14,43,strawberry,3
Delburne,15,98,strawberry,2
Chestermere,6,66,strawberry,2
Ryley,8,40,banana,1
Mannville,5,189,vanilla,3
Myrnam,23,15,vanilla,2
Vermilion,24,101,banana,2
Falher,22,66,chocolate,1
Bruderheim,19,86,chocolate,2
Mundare,10,128,strawberry,2
Eckville,5,89,banana,3
Chestermere,10,99,strawberry,2
Ryley,13,124,banana,2
Eckville,22,55,chocolate,1
Myrnam,10,69,strawberry,3
Bruderheim,25,17,vanilla,1
Cardston,6,74,strawberry,2
Athabasca,25,110,chocolate,2
Girouxville,19,57,banana,1
Chestermere,11,106,vanilla,1
Bashaw,8,77,vanilla,2
Cardston,6,125,vanilla,1
Cardston,18,10,vanilla,1
Magrath,9,60,banana,3
Mundare,2,185,chocolate,1
Myrnam,3,31,banana,2
Athabasca,6,32,vanilla,2
Athabasca,3,69,vanilla,1
Valleyview,7,27,banana,2
Chestermere,1,39,vanilla,3
Valleyview,11,8,vanilla,2
Girouxville,27,2,chocolate,2
Ryley,24,38,vanilla,2
Girouxville,4,94,strawberry,2
Bashaw,14,144,vanilla,2
Lomond,23,27,strawberry,2
Vermilion,3,74,strawberry,1
Chestermere,21,134,chocolate,2
Bruderheim,17,20,strawberry,1
Eckville,2,1,strawberry,2
Bashaw,25,115,chocolate,2
Valleyview,1,82,vanilla,1
Mundare,21,158,banana,1
Mundare,10,95,strawberry,3
Mannville,30,93,chocolate,3
Lacombe,4,52,strawberry,2
Bruderheim,25,66,chocolate,1
Bashaw,26,3,chocolate,3
Eckville,23,105,chocolate,2
Bruderheim,12,127,vanilla,2
Lomond,2,100,strawberry,2
Bruderheim,6,8,vanilla,2
Mannville,30,212,chocolate,3
Athabasca,25,41,chocolate,3
Girouxville,13,20,strawberry,3
Bruderheim,4,55,chocolate,2
Olds,13,12,strawberry,2
Eckville,16,72,strawberry,3
Cardston,26,42,strawberry,2
Vermilion,17,41,banana,2
Mannville,5,135,chocolate,1
Cardston,28,34,vanilla,2
Mannville,24,43,strawberry,2
Valleyview,18,15,chocolate,1
Lacombe,30,11,vanilla,1
Vermilion,30,100,vanilla,2
Cardston,15,82,chocolate,2
Delburne,12,31,vanilla,2
Lomond,19,134,strawberry,1
Lamont,11,22,chocolate,2
Valleyview,10,22,vanilla,1
Delburne,6,3,banana,2
Delburne,21,54,strawberry,3
Athabasca,5,149,strawberry,2
Delburne,21,7,banana,2
Bruderheim,11,117,chocolate,2
Bashaw,16,99,chocolate,1
Myrnam,1,25,strawberry,3
Eckville,5,95,vanilla,1
Lacombe,17,92,vanilla,2
Bruderheim,5,75,chocolate,3
Bruderheim,18,91,chocolate,2
Eckville,8,124,chocolate,1
Eckville,5,116,vanilla,1
Bruderheim,7,101,chocolate,1
Valleyview,11,167,strawberry,1
Myrnam,6,27,strawberry,1
Cardston,15,46,banana,2
Lamont,25,58,strawberry,2
Valleyview,27,150,banana,3
Olds,5,78,vanilla,2
Mundare,9,61,strawberry,1
Valleyview,27,39,banana,1
Girouxville,26,150,chocolate,2
Bashaw,2,36,strawberry,2
Myrnam,12,59,strawberry,3
Delburne,15,10,chocolate,2
Girouxville,23,196,strawberry,3
Cardston,9,35,vanilla,2
Cardston,11,7,strawberry,3
Vermilion,27,77,strawberry,3
Athabasca,5,49,strawberry,2
Girouxville,4,62,chocolate,1
Myrnam,18,136,vanilla,1
Cardston,5,84,vanilla,1
Lomond,9,1,banana,1
Athabasca,14,5,chocolate,3
Delburne,5,144,strawberry,2
Ryley,8,16,banana,2
Mundare,3,27,chocolate,3
Lacombe,22,79,chocolate,2
Mundare,20,173,vanilla,1
Bashaw,2,25,chocolate,1
Athabasca,19,46,vanilla,3
Mannville,23,162,vanilla,1
Cardston,30,49,strawberry,2
Olds,30,97,chocolate,1
Magrath,2,79,strawberry,2
Mundare,21,165,strawberry,1
Mundare,27,79,chocolate,2
Chestermere,15,55,vanilla,3
Chestermere,9,84,vanilla,1
Lacombe,2,100,strawberry,1
Vermilion,30,128,strawberry,1
Mannville,30,78,strawberry,2
Bruderheim,18,84,chocolate,1
Lomond,4,119,banana,2
Vermilion,2,39,vanilla,1
Mundare,19,34,vanilla,2
Chestermere,30,40,chocolate,2
Mundare,24,142,strawberry,2
Olds,29,11,strawberry,2
Cardston,4,39,strawberry,1
Cardston,10,74,strawberry,2
Girouxville,2,159,strawberry,2
Valleyview,15,153,strawberry,2
Bashaw,13,104,strawberry,1
Mundare,29,119,chocolate,1
Olds,11,66,strawberry,2
Valleyview,10,74,vanilla,2
Magrath,9,5,chocolate,1
Magrath,9,58,vanilla,1
Eckville,14,118,banana,1
Girouxville,22,106,strawberry,2
Cardston,19,106,vanilla,1
Lacombe,11,12,vanilla,3
Lomond,7,25,banana,1
Myrnam,7,31,vanilla,2
Mundare,6,103,strawberry,1
Lamont,9,86,vanilla,3
Girouxville,20,203,chocolate,3
Lamont,2,107,strawberry,1
Eckville,4,12,vanilla,3
Bruderheim,29,85,strawberry,1
Valleyview,29,191,chocolate,1
Mannville,20,77,vanilla,3
Girouxville,5,22,vanilla,3
Falher,28,15,strawberry,1
Cardston,2,19,vanilla,3
Ryley,15,26,strawberry,1
Athabasca,13,121,chocolate,2
Chestermere,16,130,strawberry,1
Lomond,16,171,strawberry,1
Bashaw,20,185,strawberry,3
Olds,14,75,chocolate,3
Lamont,5,20,strawberry,1
Bashaw,9,145,banana,1
Bruderheim,14,91,vanilla,3
Girouxville,20,2,chocolate,2
Myrnam,29,13,strawberry,2
Olds,2,41,strawberry,2
Vermilion,3,61,vanilla,2
Myrnam,9,38,chocolate,1
Bashaw,3,140,chocolate,3
Lomond,23,196,banana,1
Magrath,14,29,vanilla,1
Falher,19,115,strawberry,3
Ryley,19,113,strawberry,3
Eckville,15,10,strawberry,3
Lacombe,3,38,banana,3
Mundare,9,219,vanilla,3
Delburne,13,99,vanilla,2
Mannville,22,12,chocolate,1
Vermilion,19,18,chocolate,2
Magrath,21,69,strawberry,2
Cardston,27,57,vanilla,1
Lomond,7,1,strawberry,1
Mundare,30,13,chocolate,2
Delburne,7,85,banana,1
Chestermere,11,103,vanilla,2
Bruderheim,1,21,chocolate,2
Eckville,18,80,vanilla,2
Girouxville,11,128,strawberry,2
Lacombe,11,64,strawberry,3
Cardston,10,55,chocolate,3
Mannville,5,223,chocolate,2
Falher,27,61,vanilla,1
Bruderheim,12,10,chocolate,2
Lacombe,14,51,banana,3
Mannville,13,101,strawberry,1
Mannville,29,90,banana,2
Cardston,7,51,chocolate,2
Mannville,15,35,banana,3
Lacombe,20,128,strawberry,3
Lamont,8,46,vanilla,2
Ryley,1,52,vanilla,3
Eckville,2,113,chocolate,2
Cardston,18,57,chocolate,2
Girouxville,13,178,vanilla,2
Bruderheim,6,77,chocolate,1
Myrnam,1,70,banana,3
Lomond,3,72,chocolate,1
Delburne,19,80,chocolate,1
Bruderheim,14,29,vanilla,1
Valleyview,1,146,strawberry,1
Mannville,1,24,vanilla,2
Lamont,10,23,vanilla,2
Falher,9,47,banana,2
Athabasca,30,22,vanilla,3
Athabasca,21,172,vanilla,1
Athabasca,14,61,vanilla,1
Chestermere,10,109,banana,1
Falher,2,11,vanilla,1
Myrnam,26,45,chocolate,1
Eckville,1,82,chocolate,2
Cardston,6,170,strawberry,2
Olds,4,68,vanilla,1
Olds,27,39,banana,2
Eckville,8,151,strawberry,2
Chestermere,30,63,vanilla,2
Ryley,26,51,chocolate,2
Ryley,22,72,chocolate,2
Bashaw,16,79,strawberry,1
Mundare,24,80,banana,2
Olds,30,88,vanilla,3
Bashaw,24,63,chocolate,2
Mannville,18,7,vanilla,3
Eckville,17,31,chocolate,2
Mannville,14,108,strawberry,2
Girouxville,15,11,vanilla,1
Athabasca,23,25,vanilla,1
Valleyview,4,15,strawberry,1
Cardston,6,75,vanilla,2
Vermilion,8,16,strawberry,1
Magrath,1,66,strawberry,3
Bashaw,1,28,vanilla,2
Vermilion,7,54,vanilla,2
Bruderheim,13,67,banana,2
Chestermere,14,68,vanilla,1
Bashaw,7,168,vanilla,2
Mundare,21,20,strawberry,3
Athabasca,15,141,chocolate,1
Myrnam,12,24,chocolate,2
Cardston,15,31,strawberry,2
Athabasca,30,94,chocolate,1
Ryley,17,111,vanilla,1
Lomond,20,85,chocolate,1
Mannville,11,77,chocolate,2
Lacombe,29,153,chocolate,2
Mannville,14,198,vanilla,3
Lamont,27,29,strawberry,1
Lomond,19,59,banana,2
Lomond,23,58,chocolate,2
Girouxville,28,126,chocolate,1
Lomond,6,4,banana,3
Valleyview,5,157,banana,1
Vermilion,19,30,chocolate,2
Lacombe,14,86,strawberry,2
Magrath,4,90,banana,2
Mannville,7,169,vanilla,1
Valleyview,2,146,vanilla,2
Lacombe,5,64,strawberry,2
Mannville,23,2,chocolate,2
Ryley,16,65,vanilla,3
Mannville,30,148,chocolate,1
Cardston,21,36,chocolate,2
Mannville,18,28,chocolate,2
Eckville,23,162,strawberry,1
Magrath,13,103,vanilla,1
Cardston,5,11,banana,1
Lomond,25,108,vanilla,2
Olds,1,52,strawberry,2
Delburne,12,38,strawberry,3
Athabasca,14,96,strawberry,1
Lacombe,26,119,chocolate,2
Lomond,11,124,chocolate,2
Athabasca,30,207,vanilla,3
Bashaw,26,39,vanilla,3
Lamont,2,119,chocolate,2
Bashaw,14,93,vanilla,1
Lacombe,3,4,strawberry,2
Bashaw,21,182,banana,2
Valleyview,28,73,vanilla,2
Vermilion,28,63,strawberry,2
Mannville,4,5,vanilla,3
Girouxville,1,6,vanilla,1
Olds,8,48,chocolate,1
Magrath,30,82,strawberry,2
Falher,15,66,vanilla,1
Lomond,4,177,strawberry,2
Eckville,27,130,vanilla,1
Mannville,30,13,banana,3
Bruderheim,27,142,strawberry,1
Magrath,15,109,vanilla,2
Lomond,30,41,chocolate,1
Lamont,14,42,banana,1
Lacombe,9,54,vanilla,3
Chestermere,8,58,vanilla,2
Ryley,2,16,chocolate,1
Lacombe,26,41,vanilla,2
Delburne,25,21,strawberry,1
Lomond,25,59,vanilla,1
Cardston,6,23,strawberry,1
Vermilion,12,16,banana,1
Chestermere,29,69,vanilla,3
Athabasca,6,122,chocolate,2
Lomond,17,150,vanilla,2
Bruderheim,28,124,banana,2
Athabasca,28,23,vanilla,2
Vermilion,22,88,chocolate,1
Mannville,25,16,chocolate,2
Chestermere,22,32,strawberry,3
Mundare,26,138,strawberry,3
Lomond,28,53,vanilla,2
Chestermere,6,117,strawberry,2
Chestermere,10,101,chocolate,1
Lamont,12,75,banana,2
Bashaw,27,187,strawberry,2
Delburne,8,54,vanilla,3
Lomond,16,175,vanilla,2
Mundare,7,102,strawberry,3
Bashaw,16,135,vanilla,2
Chestermere,19,152,vanilla,2
Chestermere,3,88,chocolate,1
Bashaw,30,24,vanilla,2
Lacombe,6,1,chocolate,2
Bruderheim,13,41,strawberry,3
Mundare,5,80,strawberry,2
Myrnam,4,72,chocolate,2
Girouxville,27,15,vanilla,2
Delburne,24,142,vanilla,3
Myrnam,2,107,chocolate,1
Bruderheim,7,45,strawberry,2
Girouxville,20,231,strawberry,1
Cardston,11,107,chocolate,3
Mundare,9,73,strawberry,2
Eckville,30,110,strawberry,1
Valleyview,16,84,strawberry,2
Eckville,28,121,strawberry,2
Lamont,11,41,chocolate,2
Mundare,7,37,banana,2
Magrath,1,35,banana,2
Lomond,25,114,chocolate,2
Falher,11,11,chocolate,3
Valleyview,8,27,chocolate,3
Bruderheim,6,93,banana,2
Vermilion,13,23,vanilla,1
Girouxville,4,103,chocolate,2
Athabasca,25,3,vanilla,1
Mundare,30,133,banana,2
Mundare,1,49,vanilla,2
Lomond,4,11,chocolate,2
Vermilion,23,46,strawberry,1
Mannville,30,113,strawberry,2
Lomond,21,127,strawberry,1
Bashaw,7,74,chocolate,2
Delburne,1,17,strawberry,1
Lomond,23,89,strawberry,3
Delburne,20,83,banana,2
Myrnam,13,29,vanilla,2
Delburne,26,37,vanilla,2
Eckville,7,64,chocolate,3
Mannville,3,200,banana,2
Olds,8,104,vanilla,1
Athabasca,25,74,vanilla,2
Ryley,18,156,strawberry,2
Girouxville,16,106,chocolate,1
Vermilion,14,88,banana,2
Cardston,26,43,vanilla,1
Cardston,5,107,vanilla,1
Valleyview,6,75,vanilla,2
Valleyview,29,206,chocolate,2
Bruderheim,25,65,strawberry,2
Girouxville,25,153,chocolate,2
Delburne,17,11,strawberry,2
Valleyview,22,92,vanilla,1
Cardston,26,29,banana,3
Vermilion,12,9,chocolate,2
Lacombe,2,46,vanilla,1
Mannville,26,140,strawberry,3
Vermilion,4,88,vanilla,1
Mannville,16,4,chocolate,1
Olds,8,32,banana,3
Myrnam,9,7,chocolate,1
Bashaw,12,73,vanilla,2
Girouxville,21,172,chocolate,1
Chestermere,25,120,chocolate,2
Vermilion,12,85,banana,1
Lomond,7,112,chocolate,2
Bashaw,20,80,chocolate,1
Athabasca,24,2,chocolate,1
Lamont,22,45,vanilla,1
Bashaw,8,138,strawberry,2
Girouxville,17,157,strawberry,2
Lamont,6,71,vanilla,2
Bashaw,27,6,strawberry,1
Athabasca,29,50,chocolate,2
Mundare,21,32,banana,1
Lomond,19,28,strawberry,1
Falher,2,43,chocolate,1
Mundare,28,107,vanilla,1
Ryley,3,107,chocolate,2
Cardston,4,28,strawberry,1
Valleyview,20,90,chocolate,2
Lomond,6,90,vanilla,2
Lacombe,20,34,chocolate,1
Magrath,22,22,vanilla,2
Athabasca,23,83,strawberry,1
Cardston,21,149,chocolate,2
Athabasca,22,201,chocolate,2
Eckville,18,114,strawberry,2
Girouxville,9,218,vanilla,1
Bashaw,10,34,chocolate,1
Mannville,9,27,vanilla,2
Lamont,11,23,banana,2
Bashaw,23,9,chocolate,1
Eckville,23,196,vanilla,1
Bashaw,28,113,chocolate,1
Myrnam,14,83,chocolate,2
Delburne,29,61,chocolate,1
Chestermere,1,47,strawberry,1
Delburne,2,37,strawberry,1
Athabasca,26,129,banana,2
Vermilion,23,66,vanilla,2
Magrath,13,60,strawberry,1
Bruderheim,18,18,chocolate,2
Cardston,27,31,strawberry,1
Olds,21,5,vanilla,1
Girouxville,6,167,vanilla,2
Olds,9,87,vanilla,2
Girouxville,15,20,vanilla,2
Athabasca,6,137,chocolate,1
Girouxville,29,136,vanilla,2
Lomond,23,1,vanilla,1
Mannville,1,93,banana,2
Girouxville,21,86,vanilla,3
Cardston,16,84,banana,2
Girouxville,4,42,vanilla,2
Girouxville,13,210,vanilla,1
Valleyview,30,4,strawberry,1
Valleyview,30,95,chocolate,1
Lacombe,15,43,vanilla,3
Mundare,12,26,vanilla,3
Ryley,21,2,strawberry,1
Mundare,25,168,strawberry,2
Mannville,18,153,strawberry,2
Bruderheim,3,14,strawberry,1
Olds,25,21,banana,2
Athabasca,7,107,strawberry,2
Lacombe,5,60,strawberry,1
Myrnam,9,141,strawberry,1
Athabasca,14,55,banana,2
Delburne,11,18,vanilla,1
Olds,19,28,chocolate,3
Mundare,27,148,strawberry,2
Falher,26,3,chocolate,1
Athabasca,29,157,chocolate,2
Myrnam,14,68,strawberry,2
Lomond,28,26,banana,2
Chestermere,6,29,vanilla,1
Bashaw,20,137,chocolate,3
Mannville,16,21,strawberry,2
Mannville,2,107,strawberry,1
Lomond,26,35,strawberry,2
Mundare,29,144,vanilla,2
Chestermere,9,108,chocolate,2
Magrath,22,41,banana,2
Falher,27,51,strawberry,2
Ryley,19,47,vanilla,1
Mannville,1,107,vanilla,2
Lamont,13,78,strawberry,2
Eckville,16,43,vanilla,1
Myrnam,2,76,chocolate,2
Bruderheim,10,13,vanilla,2
Magrath,18,148,strawberry,2
Vermilion,14,58,strawberry,3
Bruderheim,13,58,strawberry,2
Girouxville,9,172,vanilla,3
Girouxville,16,123,chocolate,2
Mundare,9,208,vanilla,1
Mundare,5,6,chocolate,2
Magrath,6,158,vanilla,2
Lomond,7,85,strawberry,1
Bashaw,18,188,chocolate,1
Girouxville,14,157,vanilla,3
Myrnam,16,78,vanilla,2
Chestermere,1,60,chocolate,2
Mannville,11,133,banana,1
Mannville,11,87,chocolate,1
Ryley,19,41,banana,3
Girouxville,14,75,strawberry,1
Lomond,3,55,vanilla,2
Myrnam,24,132,strawberry,2
Cardston,20,137,banana,3
Falher,10,108,chocolate,3
Bruderheim,30,111,vanilla,1
Cardston,27,90,chocolate,1
Eckville,6,125,strawberry,1
Mannville,9,52,vanilla,2
Bruderheim,27,49,vanilla,3
Valleyview,16,108,vanilla,3
Cardston,5,154,vanilla,2
Cardston,4,57,banana,2
Chestermere,24,104,banana,2
Girouxville,29,128,strawberry,1
Eckville,6,8,strawberry,2
Falher,15,74,vanilla,1
Cardston,21,163,vanilla,2
Ryley,25,107,strawberry,1
Bashaw,27,118,banana,2
Bashaw,28,11,strawberry,1
Lamont,16,35,strawberry,2
Athabasca,14,19,vanilla,2
Myrnam,21,26,strawberry,2
Bruderheim,18,71,vanilla,3
Lamont,21,46,vanilla,3
Girouxville,4,96,vanilla,2
Bruderheim,8,138,chocolate,1
Delburne,10,60,vanilla,1
Delburne,17,57,chocolate,1
Lomond,26,49,strawberry,1
Bruderheim,29,60,chocolate,2
Lamont,6,53,chocolate,1
Cardston,11,134,chocolate,1
Lacombe,7,54,vanilla,2
Lamont,10,68,vanilla,2
Athabasca,18,55,chocolate,1
Bruderheim,11,22,banana,3
Myrnam,25,83,vanilla,2
Magrath,9,136,strawberry,3
Delburne,22,14,chocolate,2
Valleyview,19,36,banana,1
Ryley,18,18,chocolate,2
Falher,9,45,strawberry,1
Lamont,6,43,chocolate,2
Valleyview,25,73,chocolate,1
Eckville,1,155,chocolate,2
Bruderheim,19,38,chocolate,2
Delburne,4,70,vanilla,3
Bashaw,5,138,vanilla,1
Mundare,6,67,vanilla,2
Lacombe,5,43,strawberry,2
Bruderheim,8,66,vanilla,2
Lomond,7,43,strawberry,1
Mundare,24,189,strawberry,1
Athabasca,10,145,chocolate,1
Vermilion,24,84,strawberry,1
Mannville,30,86,chocolate,2
Cardston,18,73,strawberry,2
Chestermere,7,34,banana,2
Falher,20,109,banana,2
Cardston,1,100,chocolate,3
Myrnam,24,42,strawberry,3
Delburne,26,49,strawberry,2
Athabasca,28,29,vanilla,1
Olds,30,99,strawberry,2
Chestermere,27,9,banana,1
Athabasca,14,89,chocolate,1
Bashaw,17,19,chocolate,2
Bashaw,4,153,chocolate,1
Mannville,5,60,strawberry,1
Valleyview,20,196,vanilla,2
Mundare,24,59,vanilla,2
Myrnam,23,59,banana,1
Mannville,25,123,vanilla,2
Myrnam,22,44,chocolate,2
Athabasca,24,13,chocolate,2
Bruderheim,12,123,vanilla,1
Mundare,1,201,strawberry,3
Mundare,25,9,strawberry,2
Ryley,12,71,strawberry,2
Athabasca,23,128,vanilla,1
Bashaw,5,79,chocolate,1
Cardston,27,40,chocolate,3
Lomond,20,197,vanilla,2
Bruderheim,6,38,vanilla,1
Cardston,21,182,strawberry,1
Girouxville,9,103,strawberry,2
Olds,22,5,chocolate,1
Mannville,21,41,banana,1
Cardston,29,84,banana,3
Vermilion,18,16,vanilla,2
Lomond,10,125,chocolate,2
Lomond,24,2,vanilla,2
Delburne,9,53,banana,2
Myrnam,7,6,strawberry,1
Mundare,8,155,vanilla,2
Bruderheim,30,41,chocolate,1
Valleyview,20,166,chocolate,1
Girouxville,25,52,strawberry,1
Mundare,28,142,banana,2
Bashaw,5,177,strawberry,2
Girouxville,2,1,strawberry,2
Bruderheim,2,69,vanilla,1
Cardston,21,96,chocolate,1
Mannville,26,96,chocolate,1
Delburne,25,69,vanilla,3
Chestermere,14,172,vanilla,1
Mundare,7,124,strawberry,2
Magrath,5,78,vanilla,1
Vermilion,18,83,strawberry,1
Vermilion,23,1,banana,1
Vermilion,24,30,banana,1
Bashaw,10,39,strawberry,1
Vermilion,9,95,strawberry,2
Bashaw,17,32,vanilla,2
Bruderheim,19,27,strawberry,3
Athabasca,12,120,strawberry,1
Chestermere,21,33,chocolate,2
Magrath,29,40,chocolate,1
Chestermere,4,106,vanilla,2
Delburne,29,37,strawberry,1
Myrnam,7,56,chocolate,2
Ryley,28,63,strawberry,2
Athabasca,25,127,chocolate,2
Olds,26,87,vanilla,1
Olds,17,65,vanilla,2
Mannville,3,22,banana,2
Girouxville,20,144,banana,3
Myrnam,23,121,vanilla,3
Mundare,1,219,banana,1
Falher,16,15,chocolate,2
Olds,11,64,chocolate,1
Valleyview,2,4,strawberry,1
Myrnam,4,53,chocolate,1
Mundare,5,10,vanilla,1
Valleyview,8,80,chocolate,1
Myrnam,4,98,vanilla,2
Girouxville,22,128,vanilla,1
Lomond,19,114,banana,2
Mannville,1,235,chocolate,1
Lomond,9,154,vanilla,2
Cardston,17,135,vanilla,2
Chestermere,5,132,vanilla,2
Mannville,5,192,strawberry,2
Bashaw,19,214,strawberry,2
Girouxville,29,41,strawberry,3
Lomond,19,122,banana,3
Valleyview,13,96,strawberry,2
Mannville,22,179,chocolate,1
Valleyview,5,49,strawberry,2
